heldout_model_id,condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size
google/gemma-4-E4B-it,relation_first,3,0.95,780,3.0,0.9771304474569757,0.7117881893918964,0.8269230769230769,2.0256410256410255
google/gemma-4-E4B-it,relation_first,4,0.9,780,4.0,0.9888693449104672,0.7777348513145702,0.7628205128205128,1.3615384615384616
google/gemma-4-E4B-it,relation_first,4,0.95,780,4.0,0.9888693449104672,0.7777348513145702,0.8333333333333334,2.1525641025641025
google/gemma-4-E4B-it,relation_first,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,relation_first,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
google/gemma-4-E4B-it,scalar_confidence,1,0.9,780,0.0,0.7804356729879339,0.2367747310716127,0.9384615384615385,3.408974358974359
google/gemma-4-E4B-it,scalar_confidence,1,0.95,780,0.0,0.7804356729879339,0.2367747310716127,0.967948717948718,5.283333333333333
google/gemma-4-E4B-it,scalar_confidence,2,0.9,780,0.0,0.7804356729879339,0.2367747310716127,0.9384615384615385,3.408974358974359
google/gemma-4-E4B-it,scalar_confidence,2,0.95,780,0.0,0.7804356729879339,0.2367747310716127,0.967948717948718,5.283333333333333
google/gemma-4-E4B-it,scalar_confidence,3,0.9,780,0.0,0.7804356729879339,0.2367747310716127,0.9384615384615385,3.408974358974359
google/gemma-4-E4B-it,scalar_confidence,3,0.95,780,0.0,0.7804356729879339,0.2367747310716127,0.967948717948718,5.283333333333333
google/gemma-4-E4B-it,scalar_confidence,4,0.9,780,0.0,0.7804356729879339,0.2367747310716127,0.9384615384615385,3.408974358974359
google/gemma-4-E4B-it,scalar_confidence,4,0.95,780,0.0,0.7804356729879339,0.2367747310716127,0.967948717948718,5.283333333333333
google/gemma-4-E4B-it,scalar_confidence,7,0.9,780,0.0,0.7804356729879339,0.2367747310716127,0.9384615384615385,3.408974358974359
google/gemma-4-E4B-it,scalar_confidence,7,0.95,780,0.0,0.7804356729879339,0.2367747310716127,0.967948717948718,5.283333333333333
google/gemma-4-E4B-it,visual_first,1,0.9,780,1.0,0.8399885589367982,0.4857744853003474,0.9358974358974359,2.9025641025641025
google/gemma-4-E4B-it,visual_first,1,0.95,780,1.0,0.8399885589367982,0.4857744853003474,0.95,2.973076923076923
google/gemma-4-E4B-it,visual_first,2,0.9,780,2.0,0.8488486444820672,0.5031866437914143,0.9333333333333333,2.741025641025641
google/gemma-4-E4B-it,visual_first,2,0.95,780,2.0,0.8488486444820672,0.5031866437914143,0.9448717948717948,2.7987179487179485
google/gemma-4-E4B-it,visual_first,3,0.9,780,3.0,0.8577040070141143,0.5154447599786874,0.9282051282051282,2.678205128205128
google/gemma-4-E4B-it,visual_first,3,0.95,780,3.0,0.8577040070141143,0.5154447599786874,0.941025641025641,2.7512820512820513
google/gemma-4-E4B-it,visual_first,4,0.9,780,4.0,0.8620643944709295,0.5127055697219545,0.9294871794871795,2.6666666666666665
google/gemma-4-E4B-it,visual_first,4,0.95,780,4.0,0.8620643944709295,0.5127055697219545,0.9423076923076923,2.7576923076923077
google/gemma-4-E4B-it,visual_first,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,visual_first,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
