model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
google/gemma-4-E4B-it,pope_random_395_random_395,172.40452766418457,856.9447994232178,1029.3493270874023,5.97054695159981,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000365_365,861.9611263275146,6806.532144546509,7668.493270874023,8.89656509632462,3
Qwen/Qwen3-VL-8B-Instruct,pope_random_319_random_319,161.93175315856934,813.5201930999756,975.4519462585449,6.023846016805288,5
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00000892_892,1076.9879817962646,9235.023260116577,10312.011241912842,9.574861944804487,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00000361_361,4507.434368133545,27048.520803451538,31555.955171585083,7.000868475130319,4
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002727_2727,986.7579936981201,7203.160047531128,8189.918041229248,8.299824367812315,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002893_2893,1693.5856342315674,6118.405342102051,7811.990976333618,4.612693222258089,3
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000155_155,236.13643646240234,5983.058929443359,6219.195365905762,26.337296603084727,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_1235_random_1235,117.20395088195801,588.3305072784424,705.5344581604004,6.019715656778325,5
Qwen/Qwen3-VL-8B-Instruct,vsr_333_333,423.3510494232178,6089.299917221069,6512.650966644287,15.38357109428985,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_2554_random_2554,156.01849555969238,2473.106622695923,2629.1251182556152,16.85136822287661,5
google/gemma-4-E4B-it,pope_random_2700_random_2700,175.82201957702637,3896.2974548339844,4072.1194744110107,23.160463542662495,6
google/gemma-4-E4B-it,pope_random_2673_random_2673,174.70812797546387,886.4297866821289,1061.1379146575928,6.073775312884239,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002867_2867,856.8832874298096,7080.402374267578,7937.285661697388,9.262971723377857,4
google/gemma-4-E4B-it,pope_random_2288_random_2288,172.2705364227295,4895.92981338501,5068.200349807739,29.42000678149068,6
google/gemma-4-E4B-it,pope_random_2180_random_2180,174.99160766601562,4507.963180541992,4682.954788208008,26.76102500381488,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00000161_161,1913.545846939087,7329.8985958099365,9243.444442749023,4.830531997722899,4
Qwen/Qwen3-VL-8B-Instruct,pope_random_2077_random_2077,370.1047897338867,1990.799903869629,2360.9046936035156,6.379016859795456,5
Qwen/Qwen3-VL-8B-Instruct,pope_random_1780_random_1780,157.81521797180176,4081.514358520508,4239.32957649231,26.86261585527061,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_60_random_60,160.41040420532227,3133.9659690856934,3294.3763732910156,20.537173942123335,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001555_1555,233.00957679748535,6612.55669593811,6845.566272735596,29.378905222789424,6
google/gemma-4-E4B-it,pope_random_1601_random_1601,173.85220527648926,4835.505485534668,5009.357690811157,28.813886386108404,5
Qwen/Qwen3-VL-8B-Instruct,pope_random_1438_random_1438,432.62434005737305,5183.982372283936,5616.606712341309,12.98264150277919,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002476_2476,559.410572052002,5293.222665786743,5852.633237838745,10.46214270919194,6
