condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,source_bit_micro_f1,six_way_macro_f1,coverage,average_set_size,pareto_nondominated
grounding_first,4,0.95,2400,4.0,0.9668596563694608,0.9645909645909646,0.7330634300240249,0.99875,4.598333333333334,False
grounding_first,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
grounding_first,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
one_pass_distilled,1,0.9,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.925,4.705416666666666,True
one_pass_distilled,1,0.95,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.92625,4.718333333333334,True
one_pass_distilled,2,0.9,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.925,4.705416666666666,True
one_pass_distilled,2,0.95,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.92625,4.718333333333334,True
one_pass_distilled,3,0.9,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.925,4.705416666666666,True
one_pass_distilled,3,0.95,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.92625,4.718333333333334,True
one_pass_distilled,4,0.9,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.925,4.705416666666666,True
one_pass_distilled,4,0.95,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.92625,4.718333333333334,True
one_pass_distilled,7,0.9,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.925,4.705416666666666,True
one_pass_distilled,7,0.95,2400,0.0,0.5795072096247913,0.5360911777121148,0.14625181094921727,0.92625,4.718333333333334,True
oracle_best_subset,1,0.9,2400,0.9979166666666667,0.7603243562107166,0.7646576465764657,0.5774651025133805,0.915,3.1841666666666666,False
oracle_best_subset,1,0.95,2400,0.9979166666666667,0.7603243562107166,0.7646576465764657,0.5774651025133805,0.9820833333333333,3.745,False
oracle_best_subset,2,0.9,2400,1.9795833333333333,0.8975450996491198,0.8935226264418811,0.7139157143313315,0.9125,2.78375,True
oracle_best_subset,2,0.95,2400,1.9795833333333333,0.8975450996491198,0.8935226264418811,0.7139157143313315,0.99625,4.75125,True
oracle_best_subset,3,0.9,2400,2.9404166666666667,0.9537512083259249,0.9525133194347927,0.7439570319795074,0.91875,2.8008333333333333,True
oracle_best_subset,3,0.95,2400,2.9404166666666667,0.9537512083259249,0.9525133194347927,0.7439570319795074,0.9979166666666667,4.367916666666667,True
oracle_best_subset,4,0.9,2400,3.7929166666666667,0.9701962707941648,0.9682094436652642,0.7732787782276901,0.9433333333333334,2.935416666666667,True
oracle_best_subset,4,0.95,2400,3.7929166666666667,0.9701962707941648,0.9682094436652642,0.7732787782276901,0.9929166666666667,3.59875,True
oracle_best_subset,7,0.9,2400,4.6375,0.971743384824292,0.9700794763908368,0.7697490548447784,0.9895833333333334,2.9879166666666666,True
oracle_best_subset,7,0.95,2400,4.6375,0.971743384824292,0.9700794763908368,0.7697490548447784,0.9895833333333334,2.9879166666666666,True
oracle_next,1,0.9,2400,0.9979166666666667,0.7608257651879354,0.7649712879409352,0.5780108583214113,0.9154166666666667,3.18625,True
oracle_next,1,0.95,2400,0.9979166666666667,0.7608257651879354,0.7649712879409352,0.5780108583214113,0.9816666666666667,3.7408333333333332,True
