model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
google/gemma-4-E4B-it,prehal_255_2ee2370358040510_3801,348.36602210998535,5325.817108154297,5674.183130264282,16.287992427897695,6
google/gemma-4-E4B-it,prehal_434a52f2db875a77_9ec36dab20a9483d_6783,325.66213607788086,8202.251434326172,8527.913570404053,26.186383449762285,6
google/gemma-4-E4B-it,prehal_1000344_4ae70e917e0a50f4_961,172.37162590026855,4730.2398681640625,4902.611494064331,28.44210274433974,4
google/gemma-4-E4B-it,illusionbench_10039026_0,185.71090698242188,6059.3414306640625,6245.052337646484,33.62781669165828,6
Qwen/Qwen3-VL-8B-Instruct,prehal_98241d446930f23f_ad104be0283a9bf7_7897,475.93116760253906,5781.945705413818,6257.876873016357,13.148701532912535,6
google/gemma-4-E4B-it,prehal_1113_b9ec315cec52576b_143,355.90457916259766,6142.218351364136,6498.122930526733,18.258048114514473,5
google/gemma-4-E4B-it,prehal_COCO_val2014_000000342593_dcd19a3f5c849ec9_3921,327.1913528442383,5199.806928634644,5526.998281478882,16.89225046271332,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10045016_3,307.6057434082031,6386.070251464844,6693.675994873047,21.760568969579722,6
google/gemma-4-E4B-it,illusionbench_10029038_0,405.5287837982178,8009.500026702881,8415.028810501099,20.750755918446057,6
Qwen/Qwen3-VL-8B-Instruct,prehal_2000016_b04713093e57b2ad_2016,158.583402633667,8543.098211288452,8701.68161392212,54.87132618804565,5
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10123021_0,249.03535842895508,4508.400201797485,4757.43556022644,19.1034541851359,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10092002_3,769.8526382446289,7101.350784301758,7871.203422546387,10.224298822296467,6
google/gemma-4-E4B-it,illusionbench_10063010_9,362.46657371520996,9872.03311920166,10234.49969291687,28.235706228067578,6
Qwen/Qwen3-VL-8B-Instruct,prehal_COCO_val2014_000000253757_5fd4d4531719ee4c_5035,344.6369171142578,5439.1303062438965,5783.767223358154,16.78220450608504,6
Qwen/Qwen3-VL-8B-Instruct,prehal_f19ecb261dd1a702_48bb5f7edb1b01fb_9136,809.483528137207,8323.769330978394,9133.2528591156,11.282814957499072,6
google/gemma-4-E4B-it,prehal_196_aa219efe1071a3b0_3742,196.86603546142578,6647.095441818237,6843.961477279663,34.76456190748393,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10024031_1,709.3040943145752,6821.786880493164,7531.090974807739,10.617577193157597,6
Qwen/Qwen3-VL-8B-Instruct,prehal_1458_fb4b22d329ce26a3_722,202.26097106933594,7641.207456588745,7843.468427658081,38.77895169883915,6
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10118022_2,152.98843383789062,3292.33717918396,3445.3256130218506,22.520170489963846,3
Qwen/Qwen3-VL-8B-Instruct,illusionbench_10082022_3,306.0581684112549,7169.290781021118,7475.348949432373,24.42460199065047,6
