condition,maximum_budget,target_coverage,slice_kind,slice_value,row_count,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size,mean_acquisition_cost
scalar_confidence,1,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.9141666666666667,5.325833333333334,0.0
scalar_confidence,1,0.95,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9641666666666666,5.308333333333334,0.0
scalar_confidence,2,0.9,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.8925,3.8808333333333334,0.0
scalar_confidence,2,0.9,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.8408333333333333,3.725,0.0
scalar_confidence,2,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.815,3.6633333333333336,0.0
scalar_confidence,2,0.9,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9183333333333333,3.9425,0.0
scalar_confidence,2,0.95,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.9458333333333333,5.3075,0.0
scalar_confidence,2,0.95,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.9325,5.326666666666667,0.0
scalar_confidence,2,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.9141666666666667,5.325833333333334,0.0
scalar_confidence,2,0.95,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9641666666666666,5.308333333333334,0.0
scalar_confidence,3,0.9,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.8925,3.8808333333333334,0.0
scalar_confidence,3,0.9,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.8408333333333333,3.725,0.0
scalar_confidence,3,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.815,3.6633333333333336,0.0
scalar_confidence,3,0.9,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9183333333333333,3.9425,0.0
scalar_confidence,3,0.95,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.9458333333333333,5.3075,0.0
scalar_confidence,3,0.95,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.9325,5.326666666666667,0.0
scalar_confidence,3,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.9141666666666667,5.325833333333334,0.0
scalar_confidence,3,0.95,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9641666666666666,5.308333333333334,0.0
scalar_confidence,4,0.9,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.8925,3.8808333333333334,0.0
scalar_confidence,4,0.9,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.8408333333333333,3.725,0.0
scalar_confidence,4,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.815,3.6633333333333336,0.0
scalar_confidence,4,0.9,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9183333333333333,3.9425,0.0
scalar_confidence,4,0.95,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.9458333333333333,5.3075,0.0
scalar_confidence,4,0.95,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.9325,5.326666666666667,0.0
scalar_confidence,4,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.9141666666666667,5.325833333333334,0.0
scalar_confidence,4,0.95,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9641666666666666,5.308333333333334,0.0
scalar_confidence,7,0.9,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.8925,3.8808333333333334,0.0
scalar_confidence,7,0.9,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.8408333333333333,3.725,0.0
scalar_confidence,7,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.815,3.6633333333333336,0.0
scalar_confidence,7,0.9,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9183333333333333,3.9425,0.0
scalar_confidence,7,0.95,dataset,illusionbench,1200,0.5771112546646927,0.22026035231677624,0.9458333333333333,5.3075,0.0
scalar_confidence,7,0.95,dataset,prehal,1200,0.47605758991063013,0.20917430185884542,0.9325,5.326666666666667,0.0
scalar_confidence,7,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5345408702730293,0.19711544989310603,0.9141666666666667,5.325833333333334,0.0
scalar_confidence,7,0.95,model,google/gemma-4-E4B-it,1200,0.5237309062813105,0.2301195041884302,0.9641666666666666,5.308333333333334,0.0
