condition,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count
diagnostic_no_acquisition,7,0.9,source_bit_macro_f1,0.5368492180203114,0.5170515931943958,0.5559268786296497,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.9,six_way_macro_f1,0.20868995933810353,0.19307259454732956,0.2239350946459955,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.9,empirical_coverage,0.9491666666666667,0.9403551459548573,0.9581270287740701,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.9,average_set_size,5.470416666666667,5.448332256046705,5.492156370720503,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.9,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.95,source_bit_macro_f1,0.5368492180203114,0.5170515931943958,0.5559268786296497,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.95,six_way_macro_f1,0.20868995933810353,0.19307259454732956,0.2239350946459955,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.95,empirical_coverage,0.9491666666666667,0.9403551459548573,0.9581270287740701,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.95,average_set_size,5.470416666666667,5.448332256046705,5.492156370720503,0.95,2000,1048,2400
diagnostic_no_acquisition,7,0.95,mean_acquisition_cost,0.0,0.0,0.0,0.95,2000,1048,2400
full_teacher,7,0.9,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
full_teacher,7,0.9,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
full_teacher,7,0.9,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
full_teacher,7,0.9,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
full_teacher,7,0.9,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
full_teacher,7,0.95,source_bit_macro_f1,0.9945310972449599,0.9920802884126384,0.9966753989779944,0.95,2000,1048,2400
full_teacher,7,0.95,six_way_macro_f1,0.7697286824384438,0.7573132627672257,0.7812631955653211,0.95,2000,1048,2400
full_teacher,7,0.95,empirical_coverage,0.99875,0.9971167901457942,1.0,0.95,2000,1048,2400
full_teacher,7,0.95,average_set_size,4.515416666666667,4.441157475490196,4.590373477809399,0.95,2000,1048,2400
full_teacher,7,0.95,mean_acquisition_cost,6.0,6.0,6.0,0.95,2000,1048,2400
grounding_first,1,0.9,source_bit_macro_f1,0.6610558756594717,0.647263064604765,0.6741831839632801,0.95,2000,1048,2400
grounding_first,1,0.9,six_way_macro_f1,0.28114625553069034,0.26106475596089435,0.2995199908657335,0.95,2000,1048,2400
grounding_first,1,0.9,empirical_coverage,0.9866666666666667,0.9816964087631725,0.9909854391576702,0.95,2000,1048,2400
grounding_first,1,0.9,average_set_size,4.55125,4.505393967416901,4.596570293786106,0.95,2000,1048,2400
grounding_first,1,0.9,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400
grounding_first,1,0.95,source_bit_macro_f1,0.6610558756594717,0.647263064604765,0.6741831839632801,0.95,2000,1048,2400
grounding_first,1,0.95,six_way_macro_f1,0.28114625553069034,0.26106475596089435,0.2995199908657335,0.95,2000,1048,2400
grounding_first,1,0.95,empirical_coverage,0.9979166666666667,0.9958471760797342,0.9995836802664446,0.95,2000,1048,2400
grounding_first,1,0.95,average_set_size,4.6225,4.5824285834883405,4.660418855042017,0.95,2000,1048,2400
grounding_first,1,0.95,mean_acquisition_cost,1.0,1.0,1.0,0.95,2000,1048,2400
grounding_first,2,0.9,source_bit_macro_f1,0.8415138169558946,0.8305695212194536,0.8516721375860243,0.95,2000,1048,2400
grounding_first,2,0.9,six_way_macro_f1,0.4848169843956837,0.46518974030095295,0.5034484101838028,0.95,2000,1048,2400
grounding_first,2,0.9,empirical_coverage,0.9941666666666666,0.9909465020576131,0.9970931437772378,0.95,2000,1048,2400
grounding_first,2,0.9,average_set_size,3.83125,3.774977795594646,3.8876507866787247,0.95,2000,1048,2400
grounding_first,2,0.9,mean_acquisition_cost,2.0,2.0,2.0,0.95,2000,1048,2400
grounding_first,2,0.95,source_bit_macro_f1,0.8415138169558946,0.8305695212194536,0.8516721375860243,0.95,2000,1048,2400
grounding_first,2,0.95,six_way_macro_f1,0.4848169843956837,0.46518974030095295,0.5034484101838028,0.95,2000,1048,2400
grounding_first,2,0.95,empirical_coverage,0.9991666666666666,0.997893850042123,1.0,0.95,2000,1048,2400
grounding_first,2,0.95,average_set_size,5.187083333333334,5.141991466689333,5.2322664442077125,0.95,2000,1048,2400
