ablation_id,evaluation_split,augmented_max,augmented_mean,canonical_max,canonical_mean,canonical_minus_augmented_mean,comparison_average_set_size,comparison_coverage,comparison_mean_acquisition_cost,comparison_six_way_macro_f1,comparison_source_bit_macro_f1,controller_latency_ms_mean,maximum_budget,measured_examples,metric,normalized_latency_mean,reference_average_set_size,reference_coverage,reference_mean_acquisition_cost,reference_minus_comparison_average_set_size,reference_minus_comparison_coverage,reference_minus_comparison_mean_acquisition_cost,reference_minus_comparison_six_way_macro_f1,reference_minus_comparison_source_bit_macro_f1,reference_six_way_macro_f1,reference_source_bit_macro_f1,row_count,target_coverage,total_generation_latency_ms_mean
no_voi_training,val,,,,,,2.1972934472934473,0.8368945868945868,1.995014245014245,0.7111841966690968,0.9368216143902206,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,-0.07193732193732183,0.0007122507122507837,0.0035612535612536966,-0.0039258958378990405,0.013093816677727244,0.7072583008311978,0.9499154310679478,1404,0.9,
no_voi_training,val,,,,,,2.7884615384615383,0.9166666666666666,1.995014245014245,0.7111841966690968,0.9368216143902206,,2,,,,2.690883190883191,0.9031339031339032,1.9985754985754987,-0.09757834757834738,-0.013532763532763448,0.0035612535612536966,-0.0039258958378990405,0.013093816677727244,0.7072583008311978,0.9499154310679478,1404,0.95,
no_voi_training,val,,,,,,2.004985754985755,0.8233618233618234,2.885327635327635,0.7831345085150364,0.9647179978065611,,3,,,,1.9024216524216524,0.8133903133903134,2.990740740740741,-0.10256410256410242,-0.009971509971509973,0.10541310541310578,-0.00028311807464409533,0.008177283822249803,0.7828513904403923,0.9728952816288109,1404,0.9,
no_voi_training,val,,,,,,2.7955840455840457,0.9166666666666666,2.885327635327635,0.7831345085150364,0.9647179978065611,,3,,,,2.7037037037037037,0.8974358974358975,2.990740740740741,-0.091880341880342,-0.019230769230769162,0.10541310541310578,-0.00028311807464409533,0.008177283822249803,0.7828513904403923,0.9728952816288109,1404,0.95,
no_voi_training,val,,,,,,1.8746438746438747,0.8212250712250713,3.5676638176638176,0.8133666213912862,0.9792948942558998,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,-0.056267806267806364,-0.014245014245014342,0.3055555555555558,-0.006901279777208225,0.005164376213052657,0.806465341614078,0.9844592704689524,1404,0.9,
no_voi_training,val,,,,,,2.814814814814815,0.9002849002849003,3.5676638176638176,0.8133666213912862,0.9792948942558998,,4,,,,2.777065527065527,0.8881766381766382,3.8732193732193734,-0.03774928774928776,-0.012108262108262102,0.3055555555555558,-0.006901279777208225,0.005164376213052657,0.806465341614078,0.9844592704689524,1404,0.95,
no_voi_training,val,,,,,,1.8561253561253561,0.8368945868945868,4.513532763532764,0.8494494776287543,0.9883650739069744,,7,,,,1.7542735042735043,0.8162393162393162,5.061253561253562,-0.10185185185185186,-0.02065527065527062,0.5477207977207978,-0.00015340218222315016,0.006479201643678323,0.8492960754465312,0.9948442755506527,1404,0.9,
no_voi_training,val,,,,,,3.74002849002849,0.8995726495726496,4.513532763532764,0.8494494776287543,0.9883650739069744,,7,,,,3.572649572649573,0.8867521367521367,5.061253561253562,-0.16737891737891708,-0.012820512820512886,0.5477207977207978,-0.00015340218222315016,0.006479201643678323,0.8492960754465312,0.9948442755506527,1404,0.95,
loss_only_voi,val,,,,,,2.780626780626781,0.9088319088319088,1.0,0.5926558814386408,0.9199017985224686,,1,,,,2.5947293447293447,0.8625356125356125,1.0,-0.18589743589743613,-0.04629629629629628,0.0,-0.01302084308237672,-0.02182127008630763,0.5796350383562641,0.8980805284361609,1404,0.9,
loss_only_voi,val,,,,,,3.1666666666666665,0.9373219373219374,1.0,0.5926558814386408,0.9199017985224686,,1,,,,3.0035612535612537,0.9131054131054132,1.0,-0.16310541310541282,-0.024216524216524205,0.0,-0.01302084308237672,-0.02182127008630763,0.5796350383562641,0.8980805284361609,1404,0.95,
